开放粤语例句词库

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［粤语例句］*［国语释义］

 揸住手噉教佢	手把手地教他

柜桶挤住好多嘢	抽屉里放着很多东西

次次都系你埋单，点好意思呀！	每次都是你付帐,真过意不去！

次次食完都忍唔住买多个	每次吃完都忍不住多买一个

欢欢喜喜过年	快快乐乐过新年

欢迎会开得好巴闭	欢迎会开得很隆重

正一系好人	真正是好人

正一衰人嚟嘅	真的是一个坏人

正一衰仔嚟噶	真王八蛋

正话入嚟嗰个人系边个？	刚才进来的那个人是谁？

正话要去翻工，你就嚟咗	正要去上班，你就来了

正话讲你嚟	刚说你来着

正！拍得好有心机！	很棒！拍得很努力！

死人喇，锁匙唔见咗！	糟糕，钥匙不见了！

死啦，唔记得带钱	坏了，忘了带钱

死火喇，唔见咗锁匙！	糟糕了，钥匙不见了！

死者家属车祸现场摆路祭	死者的家属在车祸的现场举进行祭悼仪式

每日夜晚去炒更揾到啲钱	每天晚上去干零活挣了一些钱

每日朝早我都跑步	我每天早晨都跑步

每日沓正八点就要上堂	每天八点整就要上课

每周先至六节课，几他条噃	每周才六节课，够清闲了

比你吹Ｑ胀	给你气坏了

比如话身份证、军人证、户口簿嗰啲	比如说身份证、军人证、户口簿等

比过至知，咁容易认低威嘅咩？	比赛过后才知道，哪有这么容易就服输了？

氰化钾好巴闭噶，食啲啲咁多就瓜得噶	氰化钾很厉害，吃一点点就会死的

水滚嘞，去冲滚水啦	水开了，去灌开水吧

求其放喺度得咯	随便放在这里行了

求其畀张纸我	随便给我一张纸

求其食啲嘢顶住肚先	先随便吃点东西填填肚子

求祈放喺度得喇	随便放在这里行了

求祈畀张纸我	随便给我一张纸

汽水冻冰冰嘅，好好饮	汽水冰凉冰凉的，很好喝

汽车撞咗上石坣	汽车撞到石头埂儿上了

汽车滚起一埲泥尘	汽车扬起了一阵尘土

沓正七点	七点整

沓正九点开身	九点整开船

冲完凉成身都爽晒	洗完澡全身舒畅

冲过凉零舍爽嘅	洗过澡特别舒服

油炸鬼啱啱炸好，仲油淰淰噉	油条刚炸好，还油淋淋的

油炸鬼啱炸好，仲油淰淰噉	油条刚炸好，还油淋淋的

油画要离远至好睇	油画要离得远才好看

油过一次叻架	漆过一次清漆

洗干净件衫	把衣服洗干净

洗咗啲衫	洗了衣服

洗完头，头发真爽	洗过头，头发真软滑

洗油漆你唔用电油，洗极都假啦	洗油漆你不用汽油，怎么洗也是白费劲

洗净件衫佢	把衣服洗干净

流定坚？	假的还是真的？

消息系流嘅	消息是不真实的

消防员上唔到呢座大厦，要由对面游绳过去	消防员上不去这幢大厦，要从对面攀绳过来

淋到成身湿湆湆	淋得全身湿漉漉的

淋到水鸡噉	淋得像个落汤鸡

淡定啲，唔使慌	镇定一点，不要慌

渌亲手指	烫伤了指头

渌亲只手	烫伤了手

净系对白好斋㗎㖞，加啲唱歌啦	光是对白太单调了，加点歌唱吧

净系知佢睇落好劲	只知道它看来很棒

净出埋晒啲屎桥，冇用	尽出些馊主意，没用

净落泥搓好易裂咖	不掺白灰的泥爱裂缝

减噉两成	减少了两成

滚水呀，睇住嚟！	开水，当心！

滚水渌甩咗皮	开水烫得皮脱落了

满得滞，泻咗啲咯	太满了，洒了一点

漏咗一句台词	落了一句台词

漯翻啲核出嚟	把核儿吐出来

浆糊煮得太削	糨糊煮得太稀

澳门咩嘢地方好玩吖？	澳门什么地方好玩啊？

澳门唔单止有赛马，仲有赛狗添	澳门不但有赛马，还有赛狗呢

激到一把火	气得一肚子火

激到佢嬲咗	把他气火儿了

激到佢死咁滞	气得他快要死了

激到佢发焮	气得他发怒

激奀咗佢	气坏了他

湿湿碎啦，咪客气	小意思，别客气

炒茭笋又嫩又甜	炒茭白又嫩又鲜

炒饭要落老抽炒至得	炒饭要搁点儿浓酱油才行

为乜仲唔歇手？	为什么还不休息？

为咗试制呢种新产品，佢经常挨更抵夜	为了试制这种新产品，他经常熬夜

为大众做事唔好怕蚀底	为大家服务不要怕吃亏

乌蝇搂过嘅嘢唔好食	苍蝇爬过的东西不能吃

焗住我行呢步棋	逼我走这一着棋

无拏拏话人傻	无缘无故说别人傻

无端白事打烂佢做乜！	无缘无故把它打破了干什么！

无端白事笑起嚟	无缘无故笑起来

无谓搅咁多嘢喇	不必搞那么多东西了

焮干件衫	把衣服烤干

焮热煲水	把锅里的水烤热

照我噉样开啦	照我这样开了

照睇冇行噉头㖞	看来像没有希望的样子

煮面宵夜	煮点面条做夜宵

煲坐喺风炉度	锅放在炉子上

热到佢懵咗	热得他迷迷糊糊的

热天呢间屋好凉爽	夏天这间房子很凉快

热气最好饮啲凉茶	上火最好喝些清凉茶

灯光咁黑，睇书睇到我眼花花	灯光那么暗，看书看得我眼睛昏花

灯着咗啦	灯亮了

爆亲血管就实死冇生都得嘞	血管一破裂肯定死的多活的少

烂鬼钟揼咗都冇人执喇	这破钟扔了也没有人捡的

爬到咁高，你唔惊啊？	爬得这么高，你不害怕吗？

爬咗两步山，猛噉嗍气	爬了两步山，拚命喘气

争两个先至够数	差两个才够

为我地嘅将来，饮胜！	为我们的将来，干杯！

爸爸同我哋一齐去游车河	爸爸跟我们一起坐车兜风

爸爸唔畀细佬出街	爸爸不让弟弟上街

爸爸好惜我哋噶	爸爸很疼我们的

爸爸发火喇，佢至死死气噉去	爸爸火儿了，他才勉强地去

爽夹甜	脆而且甜

犯人喺今朝问吊	犯人在今天早上被绞决

狗牙边嘅手巾仔	锯齿边的手绢

献丑嘅啫，失礼晒，失礼晒	献丑罢了，不像样子，不像样子

王先生喺班房度等紧你	王先生正在教室等你

玩到冇晒心机读书	玩得无心念书

玩到丧晒	玩得心都散了

玩呢啲游戏真系爽	玩这种游戏真是过瘾

玩埋呢两日先翻去	再玩两天才回去

玩够未呀？	玩够了没有？

玷吓当你贼办	稍动动手就把你当贼办

玷亲就打你	你敢碰一碰我就打你

班咗好多人嚟想闹事	纠集了很多人来想闹事

现代油画又唔系咩嘢大师作品，行货啫噃！	现代油画又不是什么大师作品，水平一般般罢了！

理佢死人咩	管他死啦活的

琴日又屙又呕好辛苦	昨天上吐下泻的难受得很

琴日嘅会议开得唔系好顺，系唔系呀？	昨天的会议开得并不顺利，是吗？

琴日经过睇到，发生咩事呀？	昨天经过的时候看到，发生什么事啊？

琴日自己髹灰水好辛苦	昨天自己刷墙累极了

琴日都好地地嘅，今日就发烧㖞	昨天还是好好的，今天居然发起烧来

琴日饮醉咗呕到成地都系，真系失礼死人	昨天喝醉了吐得满地都是，真太有失礼貌了

琴晚到而家都未歇手	昨晚到现在还没有停过手

琴晚真好瞓	昨晚睡得真香

琴晚瞓得好唔好呀？	昨晚睡得好吗？

琴晚开夜开到通顶	昨晚通宵开夜车

甜到耨	甜到发腻

生得好似你	长得很像你

生得牛高马大啰，仲咁唔生性	张得那么高大了，还那么不懂事

生得真系丑怪	长得真丑

生得真系丑样	长得真难看

生抽好味过老抽	淡的酱油比浓的酱油味道鲜

用咁多人工去做呢件嘢唔制得过	花那么多人力去做这件事划不来

用手指头督咗佢吓	用指头杵了他一下

用条绳繑几个圈	用绳子缠上几圈儿

用牛犁田快极都冇拖拉机咁快	用牛犁田再快也没有拖拉机快

用牛犁田快极都冇拖拉机咁快	用牛犁田再快也没有拖拉机快

用纱纸做灯笼	用纱纸糊灯笼

用铅笔抑或原子笔都得	用铅笔或用圆珠笔都行

用鸡毛扫扫吓张枱	用鸡毛撢子把桌子撢撢

甩咗一粒纽	掉了一个扣子

由三月到而家一直做到金睛火眼	打从三月至今一直忙得不亦乐乎

由上海翻嚟啦？	从上海回来啦？

由今天开始，你唔使嚟翻工	从今天开始，你不用来上班

由你住几耐都得	随便你住多久都行

由呢个山窿捐过去	从这个山洞钻过去

由天光坐到天黑	从天亮坐到黑夜

由朝早八点半到晚黑七点	从早上八点半到晚上七点

由琴日起个个月要畀钱过屋企	从昨天起每个月要给家里钱

申请表喺门口有得攞	申请表格在门口可以拿到

申请表挐你递咗上去	申请表代你呈递上去了

男人老狗唔好咁多叽趷！	大男人不要那么碍手碍脚的

男人老狗小小事就喊！	大男人的，小小事就哭！

男人老狗讲嘢阴声细气！	男子汉大丈夫，说话低声细气！

男人老狗，敢作敢为	男子汉大丈夫，敢作敢为

男装真皮皮鞋要几多钱一对呀？	男式皮鞋要多少钱一双？

畀人foul出局	被淘汰出局

畀人呃咗咁多年！	被骗了这么多年！

畀人哋趯到冇埞走	让人家赶得走投无路

畀人打低咗	被人搞垮了

畀人拼沉咗	给人家打败了

畀人棍咗十蚊鸡	给人诈了十块钱

畀人激到拍枱拍凳	被人家气得拍桌子摔碗的

畀人省咗个波饼	让人家用球打了一下

畀人睇见	被人看见

畀人闹到一戙都冇	给人家骂得一钱不值

畀人闹到一只屐噉	被人家骂得垂头丧气

畀人闹咗一餐	让人骂了一顿

畀人鼠咗入嚟都唔知	让别人溜了进来也不知道

畀住三百蚊我先	先给我三百块钱

畀你估啱咗，合晒你心水嘞啩	叫你猜对了，正合你意了吧？

畀你搅到我要两头揗	让你搞得我两边来回走

畀你睇吓吖嗱！	给你看看吧！

畀佢入嚟	让他进来

畀佢吓到窒晒	给他吓得很害怕

畀佢吓到我死死吓	我被他吓得半死

畀佢打咗一吓	被他打了一下

畀佢搅到一戙都冇	给他弄得毫无办法

畀佢搅坏咯，仲整鬼整马咩！	给他弄坏了，还搞什么！

畀佢激到我一条气噉	让他把我气坏了

畀佢激奀晒	叫他给气坏了

畀包花生你呀，揸住呀	给你一包花生，你拿着吧

畀咁少过人哋，太耷湿喇	给人家那么少，太寒碜了

畀嗰个人烦咗成日	受那个人干扰了整天

畀嚟至得格！	拿来才行嘛！

畀埋啲尾数	找齐那些余数

畀墨水笔写	用钢笔写

畀层楼佢揸手	给他一栋楼归他所有

畀几蚊钱佢做散使	给他几块钱做零用

畀张纸我写低	给我一张纸写下来

畀心机研究	下功夫研究

畀心机练呀	用心练啊

畀心机听先生讲呀	用心听老师讲啊

畀我同埋一齐去吖	让我一块儿去吧

畀我唞吓得唔得	让我休息一下行不行

畀我锁匙即可入住	给我钥匙就可以住进去了

畀晒你啦	全给你了

畀晒你喇	全给你了

畀本书我	给我一本书

畀次机会佢吖	给他一次机会

畀次机会我	给我一次机会

畀海关执咗嗰啲嘢	给海关没收了那些东西

畀老窦闹到一只屐噉	让父亲骂得狗血淋头

畀蚊啄亲	给蚊子叮了

畀针拮亲手指	给针头扎破了手指

畀只狗噬咗一啖	让狗咬了一口

畀只镬佢孭	让他背黑锅

畀雨揜到张毡湿晒	毛毯被雨淋得湿透了

畀雨淋到成只湿水鸡噉	被雨浇得浑身上下湿淋淋的

畀面你大佬，呢次放过你	看在你大哥的份儿上，这回就放过你

留咗收据吗？	收据你还留着吗？

当佢冇到啦！	别理他！

当时嘅情景唔系你哋想象噉噶	当时的情景不是你们想象那样的

当时我失晒魂，冇即刻打999报警	当时我慌张得很，没有马上打999报警电话

当然系你去啦嘛	当然是你去了

病到佢削笪笪	病得他肌肉都松软极了

病到佢软笪笪	病得他软弱无力

痛到佢趷趷吓	痛得他一拐一瘸的

疮埋口喇	疮合口了

癐到乜噉	累得像什么似的

癐到佢摊喺张床度	累得他直直地躺在床上

癐到死！	累得要死！

癐就休息吓先啦	累了就先休息一下吧

癐得滞	太累了

发展吓自己嘅事业先啦	先发展自己的事业了

发现唔对路你会点做？	如果发现不对劲你会怎么做？

发生咩事呀	发生了什么事

发鸡盲呀？	眼睛瞎了吗？

的吓有几重	掂一掂有多重

皮肤好嚡	皮肤很粗糙

盏灯光过头	那盏灯太亮了

直头去学校	直接去学校

直头咪畀佢哋入嚟就最好	干脆不让他们进来就最好

直头就冇呢个人	简直就没有这个人

相喺边度？	那照片在哪儿？

相架里便张相系我妈妈	镜框里的照片是我妈妈

省干净个茶杯	把脸盆刷干净

省到个盆擸擸炩	把盆擦得绷亮

眞系畀佢激死嚟	真给他气死

真系一啲人性都冇！	真的一点人性都没有！

真系一啲都唔明	真是一点都不懂

真系今时唔同往日，呢度全变晒样咯	真是今非昔比，这里全变样了

真系估唔到	真是没想到

真系估唔到喺呢度都撞得到你	真想不到在这里也能碰上你

真系做到金睛火眼，冇时间休息	真是忙得不亦乐乎，没时间休息

真系冇佢收	真拿他没办法

真系冇眼睇！	眼不见为净

真系吹你哋唔胀	真是拿他们没办法

真系吹你唔胀	真是拿你没办法

真系吹佢哋唔胀	真是拿他们没办法

真系吹佢唔胀	真是拿他没办法

真系吹Ｑ胀	真是气死我了

真系咩人都有	真是什么人都有

真系唔系几似呀	真的不太像

真系唔好意思，咁夜仲打电话畀你	真抱歉，这么晚还给你打电话

真系唔好意思，我嚟迟咗	真抱歉，我来晚了

真系唔好意思，我迟咗	真是对不起，我来晚了

真系唔好意思，阻住你添	真不好意思，打扰你了

真系唔该晒！	真是太感谢您了！

真系唔错，我好钟意	真不错，我挺喜欢

真系嘥心机挨眼瞓	真是白费劲

真系噶？	真的吗？

真系多得你唔少	你太好了，你-->反话

真系好多未睇过	真是很多没看过

真系好彩我带咗身份证	好在我带了身份证

真系好正	真的很棒

真系好食，你做嘅沙律真系好味呀！	好吃极了，你做的沙拉真好！

真系巴闭，日日都要去睇病	真伤脑筋，天天都要去看病

真系想落街饮支可乐	真想到楼下去喝瓶可乐

真系戥你开心呀	真的替你高兴

真系折堕咯！	真缺德！

真系抵到飞起㖞	真的很合算啊！

真系掬鬼气！	真憋气！

真系枉做咯	真是白干了

真系正呀！	太棒了！

真系污鬼糟	可脏着呢，真他妈的脏

真系畀你考起	你倒真给我出了道难题

真系笑大人个口	真可笑

真系笑死人啊！	真叫人笑死了！

真系落面喇	真丢脸了

真系讲你都唔信呀	真是说了你也不会相信

真冇解八点钟仲未有人嚟	真奇怪，八点了还没有人来

真吹Ｑ胀！	真气死人！

真唔似样！	真不像话！

真够花臣	真够时髦

真好彩，一揾就揾到	真走运，一找就找到了

真定假呀？	真的假的啊？

真定假嘎？	真的假的了？

真对唔住，滚搅晒你哋添	真对不起，打搅了你们了

真攞命，打烂咗眼镜添	真要命，把眼镜打破了

真激气，话极佢都唔听	真气人，怎麽说他都不听

真系折堕咯！	真缺德！

真老衬，直路唔行行弯路	真傻瓜，直道不走走弯路

真衰，又打烂咗	真倒霉，又打破了

真衰，差啲都唔成，又鲠颈喇	真糟糕，差一点儿都不成功，又完了

真该煨咯，跌到佢脚都损晒	真糟糕，摔得他脚都破了

真论尽，又唔记得带嚟	真马大哈，又忘了带来

真霎戆	真混账！

眼光光畀人攞咗去都唔敢出声	眼巴巴地看着给人拿了去也不敢吭声

眼白白畀佢走甩咗	眼巴巴让他跑掉了

眼瞓到眼皮都耷咗落嚟	困得眼皮都垂了下来

眼瞓到鬼噉	困得要命

睄佢几眼	瞧他几眼

睇乜鬼嘢吖，行街罢喇	还看什么电影啊，逛大街得了

睇乜鬼戏吖，行街罢喇	还看什么电影啊，逛大街得了

睇住嚟，咪咁擒青	看着点，别那么鲁莽

睇你个样咁冧，份礼物一定系男朋友送噶啦？	看你这幸福陶醉的样子，这份礼物一定是男朋友送的了？

睇你个猫样，冇样叻	看你这德行，没什么能耐

睇你个猫样，得把口	看你这德行，就会耍嘴皮子

睇你吖，瘦蜢蜢噉，仲唔食多啲	瞧你，瘦不拉唧的，还不多吃点儿

睇你趯得去边度！	看你能逃到哪里去！

睇你点收科	看你怎么收场

睇佢个唛头似乜！	看他的样子像什么！

睇佢个样都唔似好人	看他的样子也不像好人

睇佢个样都几叻仔	看他的样准是个棒小伙子

睇佢个样，就快拉柴啦	看他的样子，快完蛋了

睇佢半条命噉，行都行唔喐	看他半死不活的样子，走都走不动

睇佢咁老积，唔似七岁仔	看他这么老成不像七岁的孩子

睇佢嘅样又唔似广州人，不过佢讲嘅系正牌广州话噃	看他的样子不像是广州人，不过他说的是地道的广州话

睇佢嘅面	看他的面子

睇佢好闭翳噉，唔知有乜事	看他很抑郁，不知有什么事

睇佢打扮得咁难睇，真作呕	看她打扮得那么难看，真恶心

睇佢担心到成日苦口苦面	看他担心得整天耷拉着脸

睇佢有啲失魂	看他有些精神恍惚

睇佢死死吓噉	看他无精打采的样子

睇佢死死气噉翻嚟，实唔成功嘞	看他垂头丧气地回来， 一定不成功了

睇佢真凄凉	看他真可怜

睇佢讲话窒口窒舌，一定有鬼	看他说话结结巴巴，一定有鬼

睇佢走到身水身汗	看他跑得满身是汗

睇佢点煞科	看他怎么收场

睇个天，落雨都似	看这天，很可能下雨

睇个样就知道好醒目	看这模样就知道是很机灵的

睇到吗，佢几钟意	看到吗，他挺喜欢的

睇化晒咯	看透一切了

睇吓你可以唔可以安排今日下昼开个员工会议	看看你能不能安排今天下午开个员工会议

睇吓你哋几时执	走着瞧你们何时倒闭

睇吓你啲棋几屎！	看你这臭棋！

睇吓呢个得唔得	看看这个行不行

睇吓呢个得唔得	看看这个行不行

睇吓报纸先	先看看报纸

睇呢啲湿星嘢你要唔要呀	看你要不要这些琐碎的东西

睇咗两次医生就好嘞	看了两次病就好了

睇咗十分钟都睇唔明	看了十分钟都看不懂

睇嘢要睇远啲	眼光要放远一点

睇实佢，唔好畀佢走	看着他，别让他跑了

睇死你系噉噶啦	早就料到你是这样

睇落都几高危	看来都满危险

睇见人哋打波，佢就手痕	看见人家打球， 他就手痒痒

睇见佢咁唔生性，真肉紧	看他这样不懂事，真叫人着急

睇见佢就拧头	看见他就摇头

睇见佢眼湿湿噉，真可怜呀！	看他泪汪汪的，真可怜啊！

睇见就眼火爆啰	一看见就叫人非常气愤

睇见有人玩保龄我就手痕	看见有人玩保龄球我就手痒

睇见未？	看见了没有？

睇亲就识	一看就懂

睇起上嚟唔多系路噃	看起来不大对劲啊

睇起上嚟点辛苦都系值得嘅	看来所有的辛苦都是值得的

睇过一仗	看过一次

睇过三次戏	看过三次电影

睇过点先	先看着办吧

睇开啲啦！	看开点儿吧！

睇开啲，唔好翳气啦	看开点儿，别憋气了

睇电影抑或睇戏都冇所谓	看电影或者看戏都没意见

睇电影抑或睇戏都冇研究	看电影或者看戏都没意见

睇黎唔错㖞	看来不错呀

睺住佢，唔好畀佢走鸡	守着他，别让他跑掉

瞄吓就算啰	随便地看一下就算了

瞄咗一眼	偷看了一眼

瞄咗吓	偷看了一下

瞄咗隔篱一眼	偷看了邻近一眼

瞓先	先睡了

瞓到十一点钟唔起身，咁懒㖞	睡到十一点还不起床，这么懒呀

瞓到咁晏先起身食饭	睡得这么晚才起来吃饭

瞓到而家先至起身	睡到现在才起来

瞓到只脚都痹晒	睡得腿都麻了

瞓唔够，眼好劫	睡不够，眼睛很涩

矮瓜都几好食嘅	茄子也挺好吃的

碌埋便呀！	滚到一边去！

碗汤淌晒出嚟	汤全洒出来了

碰到困难，千祈唔好缩沙	碰到困难，千万不要退缩

祝你新年快乐，身壮力健！	祝你新年快乐，身体健康！

礼拜日你呢度够巴闭咯	星期日你这里够忙的了

礼拜日做咩唉唉声呀？	星期日干嘛唉声叹气的？

禾黄咯	稻子熟了

秤先啲畀你	多点给你

秤先啲畀你	给你称高点

种到密质质就唔好喇	种得密密麻麻的就不好了

究竟咩事？	到底怎么一回事？

究竟我紧要定你份工紧要呀？	到底是我重要还是你那份工作重要呢？

究竟结果点样呀？	到底结果怎么样了？

究竟边个系冠军呢，好快就要揭盅喇！	究竟谁是冠军呢？很快就要揭晓了！

突然窒住	突然停住

突然记起一件事	突然想起一件事

突然间觉得“睇餸食饭” 呢句说话好有道理	忽然觉得“量入为出”这句话很有道理

窒到佢冇声出	用言語堵得他沒話說

窒咗一下	停了一下

端午节广州有扒龙船嘅风俗	端午节广州有划龙船的风俗

笑到肚都痛晒	笑得肚子都疼了

笑到肚都赤晒	笑得肚子都痛了

笠翻件衫啦！	套上衣服吧！

笠翻件衫啦！	穿上衣服吧！

第一次应付咁大个场面，畀咗你都手揗脚震啦	第一次应付这么盛大的场面，换了你也会手忙脚乱的

第一题好行货啫，好易	第一题只是一般，很容易

第日嚟我屋企，我整几味粤菜畀你食啦	改天来我家，我做几道粤菜给你吃

第日，车埋佢出街	改天，带上她上街

第处边度有咁好吖？	别处哪儿有这么好啊？

第处边度有广州咁好吖？	别的地方哪有广州那么好啊？

第处边有广州咁好吖？	别的地方哪有广州那么好啊？

等一阵间我就去	等一会儿我就去

等你等到颈都长	等你等得太久了

等佢啲钱汇过来，我间厂早就执笠啦	等他的钱汇过来，我那家工厂早就倒闭了

等入场嘅人喺门口打晒蛇饼	排队等着入场的人，在门口绕成一圈儿一圈儿的

等到你嚟蛇都死啦	等你来到已经太晚了

等到嗰阵，我都钉咗盖啰	到那时候，我都进了棺材了

等咗一大轮	等了老半天

等咗你成日	等了你差不多一天

等咗好耐啦	等了很久了

等埋我	等等我

等埋！	等等我

等我一阵间	等我一会儿

等我休吓息得啩，休完息再同你去都未迟呀！	等我休息一下好吗？休息完了再和你去也来得及吧！

等我入定啲水先	让我先灌着点儿水

等我去呀	让我去吧

等我同你解释按揭嘅手续	让我给你解释贷款买房的手续

等我同佢慢慢解释	让我跟他慢慢解释

等我睇吓	让我看一看

等我睇吓你写乜先	让我先看看你写什么

等我睇吓副作用先	让我先看看副作用

等我着衫	让我穿衣服

等我试吓申请先	让我先申请看看

等我话畀你听菜单里便嘅菜啦	我给您介绍一下菜谱

等车要排队，唔好打尖	等车要排队，别加塞儿

等阵先至食饭	等会儿再吃饭

等阵收工揸车嚟兜埋你	待会儿下了班，顺便开车来接你

筷子放喺你嘅右手便	筷子放在你的右边

算你唔好彩	算你倒霉

算系吖	算是吧

算咯，咪再提咯	算了，别再提了

算我黑噶啦！	算我倒楣！

算罢啦	算了吧

篇稿我赶紧噶喇	这篇稿子我正在赶写

简直系揾嚟搅嘅	简直是自找麻烦

精神翻，好啲啦	病轻了，见好

糁啲胡椒粉	撒点儿胡椒面

糁啲盐落去	撒点儿盐下去

约亲佢都话唔得闲	每次约他都说没空儿

红星艔六点落船，八点开身	红星号船六点上船，八点开船

红毛泥畀雨揜过就变质噶喇	水泥给雨水淋过就会变质的了

红灯，快啲煞掣！	红灯，快点刹车！

红萝卜、马蹄汤好凉气噶	红萝卜、荸荠汤去火很不错

纽约股市暴泻	纽约股市暴跌

索实条裤带	把裤腰带勒紧

紮花好靓㖞！	这束花很漂亮！

细佬仔有时好扭计噶	小孩子有时很淘气

细佬哥唔好周围乱趯	小孩不要到处乱跑

细佬哥畀你锡坏咗喇	小孩子给你惯坏了

细佬哥，埋嚟！	小孩，过来！

细个嗰阵唔勤力学习，到大个就唔中用咯	小的时候不用功学习，长大了就不管用了

细个嗰阵屋企人系噉话嘅	小时候家里人是这么说的

细个嗰阵时学过	小时候学过

细个超钟意睇	小的时候很喜欢看

细力啲吖！	轻力一点啊！

细单位嘅楼盘最抢手	小面积的房子最热销

细细个就冇咗亚妈，真系凄凉	年纪小小的就没了妈，真可怜

细细声噉讲	小声地说

细蚊仔成晚啰啰挛	小孩儿整夜焦躁不安

细蚊仔见到生暴人就怕	小娃娃见到陌生人就害怕

细路仔吮手指容易生积	小孩子吮手指容易患疳积

细路仔咪一味食餸唔食饭先得噶	小孩子別光吃菜不吃飯才行

细路仔唔好咁百厌	小孩子别那么淘气

细路仔生积就唔生肉咯	小孩子有积就长不胖了

细路仔用匙羹食饭多	小孩子用杓儿吃饭的多

细路仔都画得靓过你呀！	小孩子画得都比你好看！

细路哥好惊行雷嘅	小孩儿很害怕打雷的

细路哥好惊行雷闪电	小孩儿很怕打雷闪电

细路哥最钟意听故仔嘞	小孩子最喜欢听故事了

细路女最中意诈嗲	小女孩最喜欢撒娇

终于睇明喇！	终于看得懂！

终于翻到屋企啦	终于回到家了

丝发畀面摸起嚟最爽手	丝绸被面摸起着手感最好

绑得咁松，容乜易畀佢走咗	捆得那么松，多容易让它跑掉

绑成一孖一孖噉	捆成一双一双的

经济不景气，有唔少工厂搇斗	经济不景气，不少工厂倒闭了

网上消息流定坚？	网上的消息假的还是真的？

紧唔紧要？	要紧不要紧？

线步好密	针脚很密

缘分只系一啲口花花或者系热恋中嘅人谂出嚟既野	缘分只是一些乱说话或者是热恋中的人想出来的东西

练到只手就嚟断	练得手就快断了

总经理放大假，呢件事而家由我跟进	总经理休假去了，这件事由我接着处理

羊肉要起骨至卖	羊肉要剔了骨再卖

羊肉鬼咁臊	羊肉膻极了

翻一次工就嘥好多钱	上班一次就浪费很多钱

翻五日工，礼拜六同礼拜日唞工	上五天班，星期六和星期天休息

翻屋企再睇	回家再看

翻差馆至讲	去到警署再说

翻乡下个几日，烧炮仗烧到够晒皮	回乡下那几天，放鞭炮放了个够

翻风兼夹落雨	刮风而且下雨

老人家，好声行啊！	老人家，走路小心！

老公成日去赌钱，佢都好激气	丈夫成天赌博，她也十分生气

老婆仔，今晚食乜餸呀？	老婆，今晚吃什么菜？

老实讲，我真系唔识讲价	说实话，我真的不懂得讨价还价

老师教过你咁多匀都仲系唔识，你眞系蠢到加零一	老师教过你这么多次你还是不会，你真是蠢得不可思议

老师有时都会畀学生问起	老师有时也会被学生问倒

老师都倔住佢喇，佢仲喺度倾偈	老师已经狠狠地盯住他，他还在那儿讲话

老窦出咗事呀！	爸爸出了事！

老编将我篇文章改净千零字	编辑把我那篇文章改得只剩下千把字

老板当住咁多人面前省咗佢一轮	老板当着这么多人的面训了他一顿

老板话下个月加我人工	老板说下个月加我工资

老板边度有咁好死吖！	老板哪有这么好的？

老板边度有咁好死吖！	老板那里，哪有这么好的事儿啊？

老鼠噉眼	像老鼠似的眼睛

老鼠贡入墙窿	老鼠钻进了墙洞

考唔合格你就听闹喇	考不及格你就等着挨骂吧

考完试就放大假	考完试就放长假

考虑成点呀？	考虑得怎么样？

考试都唔带笔，冇谱啲啩？	考试都不带笔，离谱了点儿吧？

而家仲制唔制水吖？	现在供水还要定时吗？

而家仲有大把人踩单车翻工	现在骑自行车上班的人还多的是

而家你仲同啲仔女讲乜嘢门当户对，你都唔化嘅	现在你还跟儿女谈什么门当户对，你也太迂腐了

而家系两点	现在是两点

而家先至九点钟	现在才九点钟

而家冇大镬饭食喇，边个有本事，边个就揾钱多	现在不能吃大锅饭了，谁有能力，谁就能多挣钱

而家冇几张纱纸，都好难揾到份好工	如今没有几张文凭在手，很难找到一份理想的工作

而家同佢行嗰个男人究竟系咪娶佢，我睇都话唔实，净系喺度生人霸死地！	现在跟他交往的那个男人究竟要不要娶她，我看也说不定，只是在这儿占着毛坑不拉屎！

而家同朋友食紧饭	现在正跟朋友吃饭

而家唔同旧底咯	现在跟过去不一样了

而家唔忧食，唔忧着	现在不愁吃，不愁穿

